STARTUP;STARTUP WEBSITE;IDOFFRE;POSTE;CONTRAT;SALAIRE;DIPLOME;EXPERIENCE;TRAVAIL;DESCRIPTION
Atecna;https://www.atecna.fr/;0;Lead Développeur JAVA (F/H);CDI ;;Bac +5 / Master;> 3 ans;Télétravail partiel possible;"Ton périmètre de jeu :

Être opérationnel sur du développement d’applications Java et idéalement Frameworks Spring pour te positionner en tant que Leader/référent Java auprès de nos clients et leurs équipes.
Être capable de prendre de la hauteur de vue sur les enjeux clients / projets/ architecture et apporter ton expérience pour cerner au mieux les attentes des utilisateurs.
Être curieux, ne pas rester sur ses acquis et vivre le métier de Lead comme l’opportunité de grandir et faire grandir son équipe techniquement (et humainement !)
Avoir la niaque, l’envie de challenge, de réussite et ne pas avoir peur de tester… c’est aussi ça l’agilité !"
Atecna;https://www.atecna.fr/;1;Leader Team e-Qualité (F/H);CDI ;;Bac +2;> 7 ans;Télétravail ponctuel autorisé;"Atecna a besoin avant tout d’un Leader doté d’une vraie expertise qualité (tant sur le test fonctionnel que sur l’automatisation) alliée à un potentiel de manager/gestionnaire, pour accompagner le développement de l’équipe.

MENEUR : tu véhicules et donnes la vision de la qualité à ton équipe.
FIABLE : Tu construis la communauté en cohérence avec la vision et les valeurs d’Atecna.
PASSIONNE(E) : Curieux et impliqué dans la communauté qualité, tu anticipes les tendances pour permettre aux atecniens d’être à la pointe des évolutions technologiques.
ACTEUR : tu agis sur des sujets opérationnels (technique, conseil, formation interne et externe…) et capitalise les réussites de ton équipe pour les réutiliser/optimiser chez nos clients.
MANAGER : bienveillant et à l’écoute, tu développes en t’appuyant sur les talents des atecniens.
GESTIONNAIRE : A terme, tu seras responsable du modèle économique de l’équipe qualité et capable d’intégrer des notions de rentabilité."
Sorare;https://sorare.com/;2;Lead Infrastructure Engineer;CDI ;;> 5 ans;;;"Sorare is looking for a Lead Infrastructure Engineer to join the team in Paris. You should be someone who is excited about the opportunity to build and maintain infrastructure that will be used by millions of players. You should have a strong understanding of building scalable, reliable and secure systems and be excited to be the first dedicated infrastructure Engineer in a start-up. You’ll be working closely with the CTO and Full Stack Developers, helping to build a game that will be played by millions of players, globally.

This is a role where you can create a massive impact, a Sorare crypto-good represents a football player. It has a limited number of editions, is tradable and can be used in a variety of applications. Therefore our system needs to be secure, reliable and maintainable. We want to offer our Players an amazing experience and having a great infrastructure is fundamental to this.

Responsibilities

Security: we handle big amounts of money for our users and for ourselves. We need bullet proof security.
Scalability: as we grow our number of users our platform needs to remain snappy. We need to be able to plan ahead and to scale automatically. We need to detect and tackle performance issues.
Reliability: cards are on sale 24/7. A lot is at play during the last seconds of an auction. Our users need to trust that we’ll be always up.
You will help to build and maintain and infrastructure and potentially grow a team of engineers as we scale"
Sorare;https://sorare.com/;3;Full Stack Developer;CDI ;;> 2 ans;;;"The Role:

Sorare is looking for a Fullstack Developer to join the team in Paris. You should be excited to join a growing start up and work on a cutting edge product.. You should have a strong understanding of front and back end development, with the interest to develop and implement your own features. This role is working on a live, in production game, therefore the work that you do impacts our players directly, having a sensibility for the user is important. You’ll be working closely within a team of developers, reporting into the CTO. All of our team members have a say in the shape of the product, you will attend weekly meetings to help define the roadmap and priorities and then work towards building our unique and category leading game.
You don’t have to like Football, games or crypto to work here. What we look for is people who like to get things done, work in a growing company, take ownership and autonomy for their work and want to learn and develop.

Responsibilities

You will be joining the engineering team composed of the CTO and 5
Tackle hard projects from start to finish, from front to back to blockchain
Deeply care about security, performance and maintainability
Have an holistic view of the tech stack
Implement features for our players

STACK

Ethereum / Solidity
Ruby on Rails
GraphQL
React / Typescript
Algolia
AWS / Cloudflare
Docker / Kubernetes / Rancher
Gitlab CI/CD"
FDJ - Française des Jeux;https://www.groupefdj.com/;4;EXPERT JAVASCRIPT - TRACKING  H/F;CDI ;;Bac +5 / Master;> 2 ans;;"La Data Factory Loterie FDJ, forte de ses départements AdTech/Martech, Business Intelligence & Data Science, a pour vocation d’explorer, de transformer et de valoriser la data de la Business Unit Loterie dont elle fait partie.

Son objectif est de permettre, via la data, de :

Piloter finement le business : optimiser la croissance et la rentabilité, dans le respect du jeu responsable
Comprendre les comportements des clients et leurs évolutions
Agir de manière personnalisée et anticipée

Dans ce contexte, l’entité Adtech/Martech recherche son expert(e) javascript - tracking pour intégrer une équipe jeune, motivée & dynamique composée d’experts sur différentes thématiques (digital analyses, CRO, ab tests, dmp, perso, B.I., attribution/contribution, etc.).

Au centre de tous les échanges de données sur le digital, l’expert(e) javascript - tracking aura pour objectif d’assurer la gestion des outils de Commanders Act (tag & trust commander) et la bonne redistribution des données aux outils de la FDJ en synergie avec les différents experts Adtech/Martech, les experts des médias digitaux et nos agences.

Ses principales missions sont les suivantes :

Comprendre les besoins digitaux du département marketing et les décliner via la création des plans de marquage adaptés (web et app), tout en jonglant avec le contexte technologique mouvant. Puis implémenter les éléments nécessaires dans le TMS et enfin recetter, en s’assurant de la qualité des données remontées
Etre en alerte constante sur la stabilité de l’écosystème technique et sur les données remontées tout en préservant les performances des sites & applications mobiles
Comprendre le fonctionnement de l’ensemble des technos utilisées par l’entité afin d’être en capacité à s’assurer de leur bon fonctionnement que ce soit dans un environnement web ou app
Veiller à l’évolution de la configuration de Commanders act (tag & trust commander) avec des intégrations client & server side, ainsi que des retraitements internes à la solution tout en prenant en compte le contexte technique
Assurer la bonne mise en application de la réglementation CNIL relative aux cookies et du respect des normes de sécurité en termes de transmission de données à des tiers, via notre TMS"
FDJ - Française des Jeux;https://www.groupefdj.com/;5;CHEF DE PRODUIT FINANCE / DATA H/F;CDI ;;Bac +4;> 5 ans;;"FDJ a pour ambition de se positionner sur le marché de l’encaissement pour le compte de tiers et a créé pour cela sa BU Paiement & Services.
Aujourd’hui, nous recherchons un chef de produit finance / data (F/H).
Au sein d’une équipe à taille humaine et dans un environnement à forte dimension entrepreneuriale, le chef de produit finance / data accompagnera de son expertise technique et sa fine connaissance du monde des paiements et de la data le développement et la montée en puissance de notre produit sur ses aspects finance, data et back office.
Il ou elle sera responsable de la définition de la roadmap produits de ses domaines, de formaliser les besoins de son entité, et de coordonner et challenger les solutions technologiques proposées par la DSI. Ce poste nécessite de pouvoir mener des projets transverses avec les différentes entités métier, en intégrant les enjeux business de la BU.

A l’interface entre les enjeux business et IT, le ou la chef de produit aura pour responsabilité:

1/ Gestion d’un portefeuille de produits sur les domaines finance, data et back office

Définir la stratégie et la roadmap de ses produits à court et moyen termes
Rédiger l’expression du besoin, en respectant les exigences réglementaires, sécurité, performance et scalabilité.
Challenger les propositions techniques des équipes de la DSI et d’éditeurs de logiciels
Assurer le développement des produits avec les différentes équipes techniques et fonctionnelles, en assurant une livraison selon le planning défini et en respectant la qualité attendue

2/ Gestion du projet

Piloter des projets transverses (trésorerie, comptabilité, finance, data)
Être garant du planning et de la qualité des livrables

3/ Enrichissement du produit

Etablir une veille marché et concurrentielle
Identifier, et mettre en œuvre les améliorations potentielles
Gérer et prioriser le backlog d’évolutions produits
Optimiser les coûts, le time-to-market et l’automatisation des processus

Pour mener à bien vos différentes missions, vous serez en relation avec :

Entités de la BU Paiement & Services
DSI
Direction Finance
Direction Data
Direction de l’Innovation, de la Stratégie et du M&A
Prestataires intervenants sur le projet
Clients de la BU
Start up"
FDJ - Française des Jeux;https://www.groupefdj.com/;6;Ingénieur Cybersécurité Digital & Client H/F;CDI ;;Bac +5 / Master;> 5 ans;;"Principales missions :

Accompagner les projets du périmètre sur les aspects sécurité des SI:
En réalisant les analyses de risques SSI;
En identifiant les exigences de sécurité applicables (politiques de sécurité, référentiels de certification applicables tels que ISO 27001, WLA, ANJ, PCI-DSS …) et les enjeux métier;
En élaborant avec les métiers, la DSI et la Direction Technique le plan de traitement des risques (PTR);
En veillant et participant à la mise en oeuvre des mesures de sécurité du PTR par le projet;
En évaluant la mise en oeuvre et l’efficacité des mesures de sécurité par la réalisation ou le pilotage de tests de sécurité (tests d’intrusion, audits de configuration …)
En évaluant les risques résiduels afin de les présenter aux métiers responsables;
En produisant le bilan SSI du projet.

Assurer le conseil et le support expert en Cybersécurité auprès des Métiers, de la DSI et de la Direction Technique

Contribuer aux processus du Système de Management de la Sécurité Informatique (SMSI) pour assurer la conformité ISO 27001 :

En participant au processus de mise à jour de l’appréciation des risques du SMSI ;
En identifiant les impacts des projets sur la cartographie des risques SSI ;
En contribuant au maintien de nos certifications ;
En participant aux instances du SMSI.
Contribuer à la déclinaison opérationnelle de la stratégie de Sécurité du SI et des politiques qui en découlent
Dans le cadre de l’accompagnement sécurité des projets ;
En participant aux instances de gouvernance des Directions Métiers, de la DSI et de la Direction Technique ;

Contribuer à l’évolution des méthodologies, procédures et référentiels de sécurité en place (procédure d’intégration de la sécurité dans les projets, méthode d’analyse des risques…)

Assurer le suivi d’activité au responsable Gestion du Risque des Projets Entreprise :
En contribuant à l’élaboration, à la production et au maintien d’indicateurs de pilotage de l’activité"
EverWatt;https://www.everwatt.com/;7;Ingénieur en électronique de puissance;CDI ;;Bac +5 / Master;> 1 an;Télétravail ponctuel autorisé;"Sous la responsabilité du directeur technique, l’ingénieur sera en charge des fonctions de développement de la partie électronique du volant et de la gestion de projets :

Développement de l’électronique de puissance couplée au volant d’inertie LEVISYS à partir d’une base matériel existante (Siemens)
Développement du FMS (Flywheel Management System)
Développement des automatismes et des process énergétiques du volant
Coordination opérationnelle des partenariats avec SIEMENS et LG
Supervision du projet de dessalement d’eau de mer au Vietnam puis d’autres projets sur cette thématique
Encadrement des travaux sur les lieux d’implantation (souvent à l’étranger)
Suivi de sous-traitance
Rédaction des dossiers techniques correspondants

Mission à court terme :

LEVISYS travaille en partenariat avec LG Electronics sur un démonstrateur de déssalement au Vietnam où le volant d’inertie agit en tant que brique technologique assurant l’autonomie du système.
L’ingénieur sera formé durant 1 à 2 mois sur l’électronique de puissance SIEMENS du volant d’inertie de manière à être opérationnel pour le projet Vietnam, capable d’assurer avec une aide à distance la connexion et le bon fonctionnement du volant d’inertie au sein du système de déssalement."
Linkvalue;http://link-value.fr/;8;Ingénieur Cloud / DevOps Confirmé(e) H/F;CDI ;;> 3 ans;;;"Notre Stack: Linux (Debian, Ubuntu..), Scripting (Python, Lua, Perl..), AWS, Google Cloud, Docker, Kubernetes, Jenkins, GitlabCI, Ansible, Terraform, Custom-dev, MySQL/NoSQL, VMware…

We did it ! : Nous avons participé à la modernisation de l’infrastructure d’un grand acteur des médias français:

Industrialisation et automatisation des installations et des configurations de l’infrastructure existante avec Ansible
Révision de la configuration du coeur de réseau afin de libérer des IP publiques (création d’un nouveau VLAN, routage, SNAT et migration des adresses IP)
Migration vers le cloud Google Cloud et déploiement continu d’images immutables avec Packer et Jenkins
Migration d’une plateforme Jenkins on-premise vers une plateforme Jenkins automatisée, resiliente et autoscalable dans cloud Amazon AWS"
Linkvalue;http://link-value.fr/;9;Ingénieur Cloud / DevOps Confirmé(e) H/F;CDI ;;> 3 ans;;;"Notre Stack: Linux (Debian, Ubuntu..), Scripting (Python, Lua, Perl..), AWS, Google Cloud, Docker, Kubernetes, Jenkins, GitlabCI, Ansible, Terraform, Custom-dev, MySQL/NoSQL, VMware…

We did it ! : Nous avons participé à la modernisation de l’infrastructure d’un grand acteur des médias français:

Industrialisation et automatisation des installations et des configurations de l’infrastructure existante avec Ansible
Révision de la configuration du coeur de réseau afin de libérer des IP publiques (création d’un nouveau VLAN, routage, SNAT et migration des adresses IP)
Migration vers le cloud Google Cloud et déploiement continu d’images immutables avec Packer et Jenkins
Migration d’une plateforme Jenkins on-premise vers une plateforme Jenkins automatisée, resiliente et autoscalable dans cloud Amazon AWS"
Linkvalue;http://link-value.fr/;10;Développeur PHP/Symfony Confirmé(e) H/F;CDI ;;> 3 ans;;;"Notre Stack: PHP7, Symfony4, RabbitMQ, Redis, MemCache, Varnish, PHP FPM, Nginx, PHPUnit, Behat (et si tu as des bases en NodeJS c’est un plus)

We did it! Nous avons participé au projet de modernisation d’un acteur du e-commerce français:

mise en place d’une architecture micro-services en Symfony4, et de nouvelles fonctionnalités de recherche avec ElasticSearch,
migration du code Symfony3 vers Symfony4, couplée à une refonte du front en ReactJS,
implantation d’une méthodologie de travail agile par Linkvalue,
mise en place des bonnes pratiques de TDD et BDD,
installation d’un environnement Docker et d’une base de données NoSQL, pour absorber les fortes charges.

Nous te proposons de rencontrer Raphael et Henri: https://www.youtube.com/watch?v=tEk_3KeB5bk"
Linkvalue;http://link-value.fr/;11;Développeur PHP/Symfony Confirmé(e) H/F;CDI ;;> 3 ans;;;"Notre Stack: PHP 7, Symfony4/5, RabbitMQ, Redis, MemCache, Varnish, PHP FPM, Nginx, PHPUnit, Behat (et si tu as des bases en NodeJS c’est un plus)

We did it! Nous avons participé au projet de modernisation d’un acteur du e-commerce français:

mise en place d’une architecture micro-services en Symfony4, et de nouvelles fonctionnalités de recherche avec ElasticSearch,
migration du code Symfony3 vers Symfony4, couplée à une refonte du front en ReactJS,
implantation d’une méthodologie de travail agile par Linkvalue,
mise en place des bonnes pratiques de TDD et BDD,
installation d’un environnement Docker et d’une base de données NoSQL, pour absorber les fortes charges.

Nous te proposons de rencontrer Raphael et Henri: https://www.youtube.com/watch?v=tEk_3KeB5bk"
Linkvalue;http://link-value.fr/;12;Développeur Fullstack JS Confirmé H/F;CDI ;;> 3 ans;;;"Notre Stack: NodeJS, Express, Hapi, Electron, Javascript (ES6+, Typescript), Angular, RX, ReactJS, Redux, Jest, HTML5, CSS3, VueJS, VueX, GraphQL, NextJS / NuxtJS…

We did it ! : Nous avons accompagné une grand chaîne de télévision française dans le projet de refonte des players vidéos en une application Full-stack Javascript.

Réduction du temps de mise en production des contenus
Conception et mise en place de l’architecture applicative
Côté plateforme, développement du Backend en NodeJS avec HapiJS et scripts SQL,Go
Développement du Frontend en DustJS."
Linkvalue;http://link-value.fr/;13;Développeur Java Confirmé H/F;CDI ;;> 3 ans;;;"Nous t’attendons à Lille pour occuper un poste inédit chez Linkvalue : notre deuxième Partner Tech Java !
Tu seras force de proposition et tu mettras à profit :

-Ta connaissance métier et ton âme d’entrepreneur , en contribuant à la co-construction de l’offre Java de Linkvalue et à son développement commercial en soutien aux équipes Business

-Ton expertise technique en accompagnant nos clients sur des projets de développement de web app from scratch ou sur des stratégies de migration, d’évolution,… . Tu participeras aussi au recrutement des futurs Partners Java
en réalisant les entretiens d’évaluation technique.

-Ton envie de partager tes connaissances en challengeant et en étant challengé par ton équipe. Tu es garant des bonnes pratiques de dev (intégration continue, tests, agilité…) et tu as également la possibilité de créer des modules de formation dans le cadre du Training

-Et si tu te sens l’âme d’un speaker en puissance, tu peux organiser des conférences, fédérer et animer la future communauté Java chez Linkvalue!"
Linkvalue;http://link-value.fr/;14;Développeur Fullstack JS Confirmé H/F;CDI ;;> 3 ans;;;"Notre Stack: NodeJS, Express, Hapi, Electron, Javascript (ES6+, Typescript), Angular, RX, ReactJS, Redux, Jest, HTML5, CSS3, VueJS, VueX, GraphQL, NextJS / NuxtJS…

We did it ! : Nous avons accompagné une grand chaîne de télévision française dans le projet de refonte des players vidéos en une application Full-stack Javascript.

Réduction du temps de mise en production des contenus
Conception et mise en place de l’architecture applicative
Côté plateforme, développement du Backend en NodeJS avec HapiJS et scripts SQL,Go
Développement du Frontend en DustJS."
Hager Group;https://www.hagergroup.com/;15;Stage Business Intelligence Supply Chain Analytics H/F;Stage ;;Bac +5 / Master;> 6 mois;;"Vos missions :

Au sein du département Supply Chain, vous serez rattaché(e) à l’équipe Supply Chain Analytics. Lors de votre premier mois de travail, vous découvrirez le fonctionnement de la Supply Chain Hager. Dans un second temps, vous serez formé(e) à l’utilisation des outils de reporting BI. L’objectif de votre stage étant de participer à la refonte des rapports statistiques de la Supply Chain.
Au vu de ses objectifs ambitieux vous serez amené à :

Comprendre l’organisation de la Supply Chain
Recenser les besoins utilisateurs
Apprendre à utiliser les outils de création de rapports PowerBI
Réaliser des rapports à haute valeur ajoutés pour l’entreprise
Vous serez intégré(e) au sein d’une équipe de professionnels passionnés, l’environnement de travail est international.
Très peu de déplacements sont à prévoir dans le cadre de ce stage.

Votre profil :

Etudiant(e) d’un niveau BAC+5 en recherche d’un stage de fin d’études.
Vous avez une affinité avec l’analyse de données et l’informatique
Vous êtes reconnu(e) pour votre envie de réussir et votre autonomie.
Un niveau B1 en anglais ou en allemand est requis.
Autonomie, organisation, rigueur, persévérance, esprits d’initiative et d’équipe sont des atouts pour réussir dans ce poste.

Le poste est basé à Obernai en Alsace"
Hager Group;https://www.hagergroup.com/;16;Stage Développement .NET et Sitecore (H/F);Stage ;;Bac +5 / Master;> 6 mois;;"Tes missions

Analyse des besoins
Réflexion sur les améliorations et sur leur intégration dans la plateforme
Développements .NET sur Sitecore 8 et Sitecore 9
Développement de modules
Veille technologique sur les outils et solutions dans le but d’innover en permanence et proposer les dispositifs digitaux les plus avancés du marché"
Hager Group;https://www.hagergroup.com/;17;Ingénieur Qualification Logiciel H/F;CDI ;;Bac +5 / Master;> 3 ans;;"La qualification est votre domaine de prédilection ? La domotique vous inspire ?
Hager Group est fait pour vous !
Nous sommes à la recherche de notre futur Ingénieur Qualification Logiciel H/F basé(e) sur notre site de Pessac pour un Contrat à Durée Indéterminée.
Rattaché(e) au pôle Validation, vous allez intégrer une équipe de passionnés, à l’avant-garde du métier de la validation et qui promeut une utilisation intensive des tests automatisés au sein du processus de développement.
En travaillant sur les solutions connectées développées par Hager dans le domaine de la domotique et de la gestion de l’énergie, vous allez pratiquer la qualification de logiciels depuis les briques constituant les couches systèmes embarquées dans nos produits jusqu’aux applicatifs utilisateurs en passant par les services constituant l’infrastructure Cloud nécessaire à leur exploitation.

Missions:
Dans ce cadre et en suivant la méthodologie Agile SCRUM, vos missions seront les suivantes : 

Garantir la conformité des solutions aux exigences fonctionnelles
Concevoir et mettre en œuvre les stratégies de qualification des éléments de nos solutions domotiques complètes dans le domaine de l’Energie, du Confort et de la Surveillance.
Définir, en partenariat avec les chefs de projets et le responsable de qualification, les périmètres de responsabilité, la répartition des tests entre l’automatisme et les tests manuels dans les différentes étapes du processus de développement et la méthodologie employée.
Concevoir et rédiger les documents constitutifs de l’activité de validation : stratégie et plans de tests …
Planifier, mettre en œuvre et coordonner l’exécution de la stratégie de qualification 
Développer des tests automatisés systèmes et fonctionnels pour les périmètres produits, applicatifs et infrastructure (Cloud Azure)"
Hager Group;https://www.hagergroup.com/;18;Technicien Industrialisation H/F;CDI ;;Bac +3;> 3 ans;;"Vos missions

Dans le cadre de vos fonctions, vous êtes intégré au sein de l’équipe de « gestion technique » (évolution des produits et des process existants), afin de prendre en compte les contraintes d’industrialisation.

Vous êtes en charge de vous assurer que les modifications produits soient industrialisables, de participer à la définition de la configuration de fabrication ainsi que de piloter la réalisation des moyens de production jusqu’à leur validation.

Vous proposez des choix techniques (produits et process) pour garantir la fabrication du produit selon les objectifs définis (coûts, délais, qualité, sécurité).

Vous rédigez les cahiers des charges des équipements, choisissez les fournisseurs, et suivez la réalisation des équipements jusqu’au à leur validation.

Vous définissez par ailleurs la structure des nomenclatures des produits à intégrer dans la base de données SAP.

Vous accompagnez également les équipes de production pour le démarrage de la fabrication."
Hager Group;https://www.hagergroup.com/;19;Ingénieur Industrialisation H/F;CDI ;;Bac +5 / Master;> 10 ans;;"Votre mission

Au sein du département Safety Detector, vous participez à l’industrialisation de nouveaux produits ou de modifications importantes de gammes de produits existantes.

Vos principales missions seront de :

•    Piloter la définition, la réalisation ou la modification des lignes de production jusqu’à leur validation totale
•    Chiffrer les projets
•    Gérer l’ensemble des données techniques des produits développés (nomenclature, vues MRP, dossier PEP, …) et le calcul du coût de revient du produit dans SAP
•    Garantir l’atteinte des objectifs en termes de qualité, coût et délai
•    Proposer des actions d’amélioration continue

Dans ce cadre, vous aurez l’opportunité de travailler en équipe pluridisciplinaire et multiculturelle (développement / industrialisation de nouveaux produits ou modifications importantes de gammes de produits existantes)."
Hager Group;https://www.hagergroup.com/;20;Ingénieur Conception Radio & Electronique H/F;CDI ;;Bac +5 / Master;> 5 ans;;"Vos missions

•    Réaliser des études de faisabilité des nouveaux produits/projets
•    Analyser puis traduire techniquement le besoin (rédiger les spécifications fonctionnelles et techniques, définir les solutions techniques, etc.)
•    Développer les nouveaux produits et les évolutions des gammes existantes dans le respect des standards groupe et des normes en vigueur
•    Participerez au prototypage, à l’industrialisation, aux tests et à la certification
•    Réaliser une veille technologique sur le marché
•    Manager l’équipe d’Ingénieurs et Techniciens Electronique"
